Condition,Activity,Diet
Anxiety,Take a few deep breaths – Helps regulate emotions.\nWrite down 3 things you're grateful for – Shifts mindset.\nStep outside for fresh air – Refreshes your mood.,"Include magnesium-rich foods like spinach, almonds, dark chocolate : Magnesium helps relax nerves and reduce anxiety. \nIncorporate omega-3s (chia seeds, walnuts, salmon) and B-complex rich whole grains : These support brain health and reduce mood swings. \nLimit caffeine and alcohol intake : They stimulate the nervous system and worsen anxiety. \nHerbal teas like chamomile and green tea help : They have calming and anti-anxiety effects. "
Arthritis,Rotate your wrists and ankles – Reduces stiffness.\nMassage your fingers or knees gently – Relieves joint pain.\nApply a warm compress if possible – Soothes aching joints.,"Eat anti-inflammatory foods like turmeric, ginger, leafy greens, berries, and fatty fish : These reduce joint inflammation. \nAdd calcium-rich foods like dairy, tofu, and sesame seeds : They strengthen bones and reduce joint stiffness. \nAvoid processed foods, sugars, and excessive red meat : These can worsen inflammation and pain. \nOlive oil and nuts help reduce joint inflammation : They contain healthy fats that support joint health. "
Asthma,Breathe in through your nose and out through pursed lips – Helps control breathing.\nOpen a window for fresh air – Improves oxygen intake.\nDrink warm water or herbal tea – Soothes airways.,"Consume foods rich in antioxidants and vitamin C like citrus fruits, bell peppers, and broccoli : They reduce airway inflammation. \nInclude omega-3 sources (flaxseeds, fish), and magnesium-rich foods : They improve lung function. \nAvoid dairy, artificial preservatives, and sulfites : These may trigger asthma symptoms. \nGinger and turmeric can ease symptoms : They have anti-inflammatory and bronchodilating effects. "
Better sleep,Close your eyes for 2 minutes – Reduces eye strain.\nLimit screen exposure before bed – Helps regulate melatonin.\nDrink warm water or herbal tea – Promotes relaxation.,"Eat foods high in tryptophan like bananas, milk, yogurt, oats, and nuts : Tryptophan helps produce serotonin and melatonin for better sleep. \nHerbal teas like chamomile, passionflower, and valerian root help : They have natural sedative properties. \nAvoid caffeine, heavy meals, and spicy food at night : They interfere with sleep quality. \nInclude complex carbs for serotonin regulation : Serotonin promotes calmness and sleep. "
Diabetes,Drink a glass of water – Helps maintain hydration and blood sugar balance.\nWalk for 5 minutes – Improves insulin sensitivity.\nSnack on nuts or a fruit – Keeps energy levels stable.,"Focus on low glycemic index (GI) foods—whole grains, legumes, green leafy vegetables, and fiber-rich fruits : They help manage blood sugar levels. \nAvoid sugar, white bread, and processed snacks : They cause blood sugar spikes. \nInclude cinnamon, fenugreek seeds, bitter gourd juice, and protein sources like lentils : These help regulate insulin and glucose levels. "
Digestion issues,Drink warm water with lemon – Aids digestion.\nWalk around for a few minutes – Helps with bloating and gas.\nAvoid slouching – sit upright – Prevents acid reflux.,"Eat fiber-rich foods (oats, apples, vegetables) : Fiber supports healthy bowel movements. \nYogurt for probiotics, and ginger or fennel seeds to aid digestion : They promote gut health and reduce bloating. \nDrink warm water regularly : It aids smooth digestion. \nAvoid spicy, oily, and junk food : These can irritate the digestive tract. \nAdd cumin, ajwain, and mint to meals : They reduce indigestion and gas."
Fatigue,Splash cold water on your face – Wakes you up.\nStand up and shake your hands/legs – Increases blood flow.\nHave a small protein snack – Provides sustained energy.,"Consume iron-rich foods (spinach, lentils, beets) : Iron helps fight tiredness and boosts oxygen flow. \nInclude B12 sources (eggs, dairy), and complex carbs (quinoa, brown rice) : They provide sustained energy. \nStay hydrated and eat small, frequent meals : Prevents fatigue and maintains energy levels. \nInclude nuts, seeds, and citrus fruits : They provide essential nutrients for vitality. \nAvoid sugar spikes and heavy meals : These cause energy crashes. "
Flexibility,Roll your shoulders and wrists – Improves mobility.\nStand up and reach for the ceiling – Enhances flexibility.\nMove your neck side to side – Relieves stiffness.,"Include collagen-boosting foods like bone broth, vitamin C-rich fruits, and leafy greens : Collagen supports joint and tissue flexibility. \nOmega-3-rich nuts and seeds help reduce muscle stiffness : They reduce inflammation and improve joint mobility. \nStay hydrated : Water keeps tissues elastic. \nConsume anti-inflammatory foods like turmeric and ginger : They prevent muscle soreness and stiffness"
Heart conditions,Sit comfortably and take slow deep breaths – Regulates heart rate.\nStretch your arms and legs – Improves circulation.\nDrink a glass of water – Keeps the heart hydrated.,"Eat heart-healthy fats (avocados, olive oil, fish) : They improve cholesterol levels. \nAdd high-fiber foods (oats, legumes), and potassium-rich fruits (bananas, oranges) : They regulate blood pressure and improve heart health. \nAvoid saturated fats, excess salt, and sugary drinks : These increase the risk of heart diseases. \nAdd garlic and leafy greens to your meals : They improve blood flow and reduce cholesterol. "
High BP,Listen to calming music – Helps lower blood pressure.\nClose your eyes and take deep breaths – Reduces stress levels.\nMassage your temples gently – Relieves tension.,"Eat potassium-rich foods (bananas, sweet potatoes, spinach) : Potassium helps control blood pressure. \nReduce sodium intake and processed foods : Salt increases blood pressure. \nInclude whole grains, low-fat dairy, and beets : They support healthy blood flow. \nAvoid caffeine and alcohol : They raise blood pressure. \nAdd flaxseeds and omega-3-rich foods : They improve cardiovascular health."
